,question,answer_text,distractor
9262,the purpos passag mainli,encourag peopl join fanstori com,provid writer entertain introduc onlin magazin writer explain review write skill
9263,the passag impli,the yuan devalu contribut lot china econom growth,exchang rate import factor determin countri rel level econom health the yuan devalu great impact countri world chines export sell well oversea high qualiti
9264,In tradit femal job attract,reinforc feminin qualiti requir,make women look honest capabl primari import women often enabl women succeed quickli
9265,If lose passport new york may probabl get help,convent and visitor bureau,time squar inform center
9266,after incid young alfr would probabl,chang attitud toward life,feel frighten mother hate Mr carr hurt mother argument mother
9267,It conclud conlon experi,given price help promot onlin sale,onlin shop time consum onlin busi provid lot product receiv offer make onlin shopper regret
9268,all peopl need friend,like feel close,often feel lone
9269,einstein newton galileo mani thing mankind,learn everyth insid outsid school,learn lot school went colleg learn professor
9270,accord passag china particp meet G,china play import part world economi,china becom one richest countri world china factori countri world develop countri want china speak
9271,nowaday owner mcdonald restaur pay,mcdonald name menu,peopl take food away custom eat quickli
9272,georg picken wish robberi would,help take money without caught,show bank import give Mr burrow good lesson
9273,the worri grandfath wrote letter tell,newspap let reader know danger hitchhik,young peopl listen parent home children talk stranger road
9274,which follow best titl stori,To see better feel,touch feel To see feel way feel
9275,the passag mainli,explain women critic appear men,compar differ view beauti women men tell us standard femal beauti high show us women pay attent appear men
9276,what author want mother earlier day,speak school lunch,tast aw lunch
9277,what wei problem,He n much money,hi parent ca n afford dream
9278,the author hitch ride one day,miss train back home,town far away sydney
9279,you need hold handl teaspoon front teeth,mouth wo n move,voic chang feel mouth movement
9280,It impli,custom use concern qualiti watch imag,peopl gradual lose interest watch grow older watchmak scarc chang develop strategi watch today watch better past qualiti
9281,what often dine put fridg,onli someth drink,all kind food like food rich vitamin
9282,the th anniversari goo goo cluster celebr,offer special design dessert,hold competit eat candi
9283,which follow made govern improv cycl infrastructur,children safeti demand lack oil,A larg number bike peopl prefer bike
9284,In kevin cusack opinion pay volunt oversea,may benefit volunt commun work,help volunt learn anoth cultur
9285,whi jule vern book popular th centuri,becaus mani peopl interest scienc invent,becaus book made rich famou becaus book subject mani movi
9286,when typhoon come,stay outsid bike,listen typhoon news stay insid strong hous
9287,what infer passag,will power challeng becom power,the studi impact scienc movement
9288,the librari upper floor mainli student,read quiet place,get comput fix
9289,If like swim indoor choos,holiday inn express univers citi,hilton univers citi holiday inn univers studio hollywood
9290,whi america join iss tie result examin,becaus need america rocket spacecraft,becaus obama order human spaceflight examin
9291,which true,salli work hard,billi say buse earli morn jill never late school
9292,which follow true,ameri forgav writer rude behavior,the writer like play boy size the writer like play joke boy size
9293,what would best titl passag,sled arctic,consequ global warm
9294,the main topic passag,rockwel express protest iri work,rockwel encourag rubi fight racism rubi fight go white school persuas rockwel earlier work art
9295,the gp servic mention passag,provid elderli emerg aid,telecommun servic provid design especi elderli yunnan local telecommun compani
9296,challeng alaska mention passag must,organ provid sport chanc disabl,nation program design help disabl sport club aim improv peopl health
9297,which follow statement true accord passag,josef meingast devot restor piano,the piano never repair matthia schulz doubt piano would well look af
9298,where stori present newspap show,stori impact reader,editor prejudic
9299,In discoveri space student,studi scienc free way,attend scientif educ class
9300,tom decid spend senior year poland,intend improv score,sport support school gettysburg polish kid better learn sport support school gettysburg want smartest kid world
9301,whi go long walk along countri road,becaus afraid disturb rest famili,becaus afraid practis high tone
9302,On monday teacher,work three hour,ca n work
9303,We learn passag human genom,code alphabet four letter,long river danub
9304,what main idea passag,We tri best make strong enough beat difficulti,We beat tree roll newspap We ca n grow without parent care We n water new tree
9305,you read time big ben,four face clock,top clock tower hand huge clock top clock tower top clock tower hand huge clock
9306,By exampl birthday parti suri cruis writer probabl want show,children famou peopl realli expens birthday parti,famou peopl love children much children famou peopl get whatev want hold expens birthday parti common nowaday
9307,what pictur,It pictur classroom,It pictur boy girl It pictur desk chair
9308,whi modern famili popular,It reflect current US societi,It present typic nuclear famili like US It includ develop interraci relat US It reflect chang statu gay peopl US
9309,what messag passag want tell us,A vegetarian diet help protect environ,more peopl becom strict vegetarian rais farm anim affect environ our diet destroy surround
9310,samuel mehr may agre,music train still import cultur reason,children attend music class smarter attend art class IQ good measur child intellig need n teach children music
9311,which follow true,pollut warmer weather glacier melt water expand,warmer weather glacier melt water expand pollut pollut water expand warmer weather glacier melt glacier melt pollut water expand warmer weather
9312,which follow true,liu help student find pictur wrong,Li siyi n believ anyth textbook the student upset teacher read letter the teacher knew expert would repli
9313,thi passag written mainli,peopl want attend earth day event catskil region,peopl celebr earth day world
9314,which follow not true watch,It easi wear carri,It tell time differ languag It show time display mani larg citi around world It show time mani big citi around world
9315,what next custom said impli,angri middl age woman,could n wait one minut line would drive middl age woman away might get line
9316,what would best titl text,surfer rescu man caught tide,notori place surfer
9317,which true comput game accord passag,you ca n spend much time comput game,the comput game n interest you ca n see comput game school the comput game bring happi
9318,which follow true,about peopl stay one place five year,children finish middl school one place
9319,which author english learn experi worthi notic,In elementari school,the first year high school the second third year high school the fourth year high school
9320,accord passag board school,student time manag care,provid children freedom pay much attent team build exercis make children feel safer
9321,whi crocodil leav pieter,It got part left arm,It taken wed ring
9322,what infer passag,there possibl cure allerg asthma,asthma caus acut inflamm airway china india largest number asthma suffer world regular checkup exercis ensur life free asthma symptom
9323,whi marit qualiti bigger effect women,becaus women tend keep neg feel,becaus women take care sick husband becaus women expect much oftheir marriag
9324,how cook meal accord author,adjust electr amount accord differ dish,set oven degre higher requir
9325,We infer passag writer,never got see bride,sign regist led mick held ceremoni mick hous walk church mick
9326,It conclud passag,british offic use word processor,work vdu long time good one health british compani need fewer fewer manag
9327,We learn passag,e book may slower read speed compar print book,born digit e book read comput digit ink gain read speed print comput use screen dpi display
9328,the iphon drop bar normal tightli held,wrong formula,weak signal strength
9329,what peopl meat product accord david heath suggest,Go eat,send back food compani
9330,when author call home even found,one answer telephon,two younger children alreadi bed children prepar birthday gift son quarrel girlfriend
9331,accord user lose smart phone,stop lunet niet phone,cat money phone
9332,which follow right,thanksgiv fall fourth thursday novemb,In mani crop corn bean pumpkin harvest the follow winter indian taught grow corn with fresh food half colonist die diseas
9333,what author tri draw attent,the declin grain yield growth,food riot hunger world the food suppli popul countri
9334,whi could train stop quickli,becaus move slowli time,becaus driver saw pram fall
9335,whi peopl usual take walk talk may th,becaus intern day famili peopl work famili problem day,becaus day peopl around world come back home meet becaus parent children happi day
9336,frederick experi extrem,ignor import mother babi,want prove children born abil speak want nurs say anoth languag
9337,which follow statement would author accept,all bad habit kick time,A posit attitud help us achiev greater success
9338,the land along trail,protect feder govern state govern,protect entir either feder govern state govern mainli protect legal agreement privat owner
9339,the intern meteorolog organ prize intend honor,made great contribut scienc meteorolog,world famou glaciologist research south pole scientist promot meteorolog research
9340,what aspect divers valeri gauthier think import,social profession experi,attitud approach busi
9341,the sevenyearold children cri,someth santa clau,teacher leav letter school present left parent
9342,In passag literaci volunt,great use peopl like author,intend help chines american
9343,whi Tu youyou win consid landmark success,becaus first chines woman win nobel prize,becaus arous great nation pride hope becaus improv futur tradit chines medicin becaus share nobel prize japan satoshi omura
9344,which follow right,slow find deep joy necessari,It better go back ancient time sinc busi
9345,hellen keller famou,As blind learn read write help mani peopl world,could n see hear
9346,which follow except girl,To use cell phone freeli,To play two sport
9347,what learn content book,A room one own h write,the art f war also give definit philosophi letter My daughter actual cummon famili letter A brief histori time mainli focus mailer lime
9348,accord rule student korea,differ hair style,go differ high school without exam wear cloth except uniform school attend differ class like
9349,the old ladi left chang mainli wish,bring love forward help need,express thank waitress qualiti servic
9350,which follow not mention passag,whi peopl eat cold,when peopl treat fever whether old advic prevent cold valuabl
9351,which follow statement true,few chines peopl feel connect christma celebr,christma season peopl hold hard earn money tightli most chines peopl think someth christma christma season common peopl earn money
9352,from passag tell boy,pleas see rick,worri rick forgotten proud rick done wonder rick
9353,accord writer opinion,writer n agre london street planner,avenu street street america better avenu england street new york better london
9354,among african american,women use internet men,women equal men use internet women use internet less men women use internet better men
9355,what key recognit hatshepsut mummi,the tooth,hatshepsut name
9356,sooner later forest disappear,unless peopl taught import plant tree,unless peopl stop cut tree unless counti plenti suppli tree unless govern punish cut tree instead plant tree
9357,the reason car drove small dirt road,long distanc citi,big deep hole driver afraid hole
9358,No children know fred well,never talk other,n answer question class often late class
9359,which method use studi,show pictur face bodi particip,judg facial express peopl stock market pick loser winner among profession tenni player put face bodi posit neg emot
9360,what writer purpos tell experi first wife,To explain two kind fear,To explain bad effect differ fear To show fear failur good thing
9361,accord passag marcu welbi M D receiv mani letter,becaus viewer believ doctor exist real life,becaus certain TV programm recommend viewer becaus TV appeal peopl pay attent health
9362,what bring invit dinner,chocol flower,tea drink
9363,which follow statement true accord passag,check time exam certain time,your concentr improv studi watch TV time you studi differ place everi day n get bore
9364,how henri find farm,He saw newspap advertis,hi best friend told
9365,which follow small conclus program,peopl memori improv memori exercis,diet exercis help peopl keep physic health eat three meal day help peopl improv memori ordinari food noth peopl memori
9366,If want hire classroom teacher organ,bachelor degre,know teach middl school student
9367,peopl develop countri often,eat protect cold,grow lot healthi food countri
9368,stefani deluca probabl agre,student think twice take gap year,take gap year enabl student achiev success school encourag student take gap year take gap year increas student chanc get good job
9369,what main idea text,how word belittl came,the argument natur wonder everi word long histori behind noah webster support jefferson idea
9370,which follow not true accord passag,My grandfath treat women unfair way,My grandmoth care children even stranger My grandmoth never keep everyth
9371,what best titl text,get cook,eat nutriti food visit white hous team first ladi
9372,accord para author money probabl,gave big boy pleas,gave bride headmast spent buy midday meal big boy
9373,the author tri persuad reader accept argument mainli,point fault zoo,use evid collect zoo question way anim protect discuss advantag natur habitat
9374,We infer ocean temperatur increas,fish tend move toward colder area,big fish born sea fish tend swim toward shore fish tend move toward warm area
9375,the best titl passag might,TV dinner,talk At dinner tabl pace Of modern life
9376,what would best titl text,watercress amaz food,the histori watercress new find watercress
9377,A person ca n feel happi,get well other,feel happi lot friend
9378,which follow would best titl passag,A new exam design student,the four skill learn english the key english speak countri toefl ielt gre Be date
9379,accord hold first view one follow fashion,one follow fashion societi progress,one follow fashion wo n look one follow fashion peopl judgement one follow fashion societi bore
9380,In writer opinion american children,poorli equip futur,creativ children countri n make full use school time
9381,To get rid shyness,learn talk other relax way,find beauti girl talk ask peopl interest question
9382,which may possibl result gap scienc knowledg kindergarten,children academ perform afterward affect,children rich famili behav better life children minor may less desir learn the gap disappear automat children grow
9383,donald got grade brian,donald cheat,boy good math brian copi donald answer
9384,which follow type basketbal allow physic strong disabl player play togeth,bankshot basketbal,street basketbal beach basketbal wheelchair basketbal
9385,what author say gener view health care,the better,better care longer life
9386,which chosen best titl stori,the flame forgiv,A regret letter father
9387,what learn friend,It one famou soap opera,It popular sitcom america It popular sitcom china It first soap opera TV
9388,what articl,A pictur liu ping room,A pictur eric room
9389,what purpos articl,To warn us viru,To stress import comput
9390,whi Ma yan leav school first time,her famili n money school,she n studi hard brother
9391,We learn passag japanes,ca n appli job,appli job time
9392,accord passag american famili valu past,american parent place need children,american love famili job american often set asid children need american strong work desir
9393,one morn stranger recogn Mr grey,ask Mr grey money,want return Mr grey money
9394,which holiday happen first year,intern friendship month,nation friendship day women friendship day old friend new friend week
9395,the new iphon G follow featur except,expens peopl buy,faster network
9396,whi peopl world mourn steve job,He revolution technolog made enjoy,He releas new iphon version death
9397,what best titl passag,crocus My sourc faith,A pink crocu My memori crocus blossom My favorit
9398,what disadvantag credit card,they leav buy realli afford,they leav spend pay cash check they save money sometim later cost they save money increas interest bank account
9399,after supper,A B,goe student homework
9400,It known passag,cheryl olson surpris kid increas use mobil devic,brandon blanco feel annoy late night text teenag use mobil devic increas past five year expert think teenag use electron devic studi
9401,what factor influenc wind chill,air temperatur wind speed,A person bodi temperatur speed wind speed person strength the locat air temperatur
9402,the old ladi stood road hold hand,would probabl someth law,old stand
9403,which follow not true,the younger brother two mother,the mother kind elder brother the younger brother love elder brother the elder brother two mother
9404,from maria say know,mani peopl like shop weekend,thing cheaper weekend peopl n like shop weekend like shop weekend
9405,the best titl passag,the number languag world,differ countri differ languag languag use unit nation
9406,which follow mean sleep well,you fall asleep within minut,you feel tire get you wake sever time night you feel tire get you wake sever time night
9407,which follow true,the number anim becom smaller smaller,A tadpol shrimp live year all anim world danger extinct african eleph nowher live
9408,whi bird take Da niu hat,becaus want save Da niu life,becaus Da niu unfriendli
9409,We infer passag,import holiday come soon,shoot creat fear among custom presid bush came scene soon shoot
9410,the best titl passag may,not end begin,which best train motorcar plane train more competit motorcar plane Oh super fast train
9411,accord passag follow dicken true,He began write fiction year old,He wrote poor peopl show deep sympathi He found effect way improv live condit poor
9412,By say It wash employ actual mean,advic wo n bring good result,idea good true
9413,from boy speech know,grandmoth great influenc,peopl forgotten boy appear grandmoth weak alway live shadow grandpa
9414,the writer think use worri caus nervous,control peopl,real caus problem
9415,which follow right,hobbi one regular activ spare time,hobbi one regular activ offic hobbi kind activ old peopl hobbi kind activ young peopl
9416,the best titl passag,ipad E reader notebook comput top wish list,how choos suitabl gift christma what buy kid holiday season
9417,what best titl passag,find home london,unforgett chunji beij
9418,what kind underground system alreadi us,tunnel car park shop area,garden car park power station
9419,whi woman dog get bu,It raini day,the dog sit
9420,what infer book the daughter trap,daughter devot lot care give,daughter n like care give care give daughter duti care give son duti
9421,what purpos speech,To encourag student join program,To tell stori adopt pet
9422,the belief share john kerri joanna kidd,place syria chemic weapon intern control hard achiev,bashar al assad administr punish break ban obama govern prevent futur use chemic weapon syria syria presid noth avoid american militari strike
9423,what possibl reason author give piano,He n like play piano,He could n pass examin
9424,mani peopl n like stay home holiday,want see someth new,want see differ peopl
9425,from passag see boat compani,n old one,advis custom buy boat
9426,befor writer went colleg alway turn father,build design idea,make puppet show
9427,which follow not true accord passag,american girl love white skin,american student hard work
9428,suppos man invit inform parti austrian better,dress dark suit white shirt,wear dark cloth dark suit wear sport shirt
9429,from passag know,learn forgiv,n use plastic bag take potato school
9430,the passag meant,report donald sterl racist comment consequ,tell reader audio record leak public
9431,what best titl passag,stop pollut,chang leav return earth
9432,whi folk art becom popular period,It offer artist freedom express,artist n need spend much materi other kind art could n express beauti life artist could express dissatisfact toward societi
9433,which follow true accord passag,tree colour like yellow orang even summer,tree n chang colour season tree still perform photosynthesi well winter tree n need food winter
9434,the plan fire japanes ghost ship paus,canadian fish boat want save ghost ship,ghost ship beyond reach coast guard gun state offici worri ghost ship might give radiat shell power enough sink ghost ship
9435,On nation youth servic day young volunt,clean public place,prepar food hungri peopl help old peopl learn
9436,In author opinion today import advanc technolog lie,medicin,brain cell human organ
9437,hasbro electron catch phrase use,help children say learn phrase,store word phrase futur use
9438,what opinion author hold,you use brain follow other,It wrong follow peopl It take time think wise
9439,profession work use text mean,stage train school,ordinari school work
9440,the common way commun,talk other,use bodi languag
9441,the chines girl smile american classroom,she could n answer question,teacher ask answer question the teacher ask stang the teacher look funni
9442,accord passag alway hold back emot lead,B C,blood pressur problem
9443,the man found lot proof except,remain fli saucer,special mark soil near hole yellow leav bush nearbi small piec meal hole
9444,you probabl enjoy flower besid stream,harlow carr kew garden,kew garden bon stewart bon stewart harlow carr wentworth castl garden bon stewart
9445,the passag tri tell us import,attitud toward life,bodi size differ beauti standard
9446,whi peopl recent start climb mount yasur,peopl surf volcano,peopl climb easili
9447,which follow true accord passag,the new design desk help peopl sit less,the treadmil desk use peopl run It better school student use stand desk It necessari compani offer sit desk everi employe
9448,what best titl passag,A friend prayer,two men ship how pray
9449,which follow would best titl,more actor,the life TV actor go drama school
9450,the writer first job,drive oxen plough cane field,stand fairway golf cours watch sugar cane plantat spot ball land golfer could find
9451,which follow not true accord passag,the industri age start middl east,the bronz age one earliest civil the bronz age develop iron age the use metal instrument start bronz age
9452,what subject passag,commun style,featur western cultur
9453,whi second group produc two group,becaus felt nice treat tri best repay,becaus thought better paid group becaus unexpect rais remind previou work
9454,which follow match not true,beatl chuck berri,roll stone satisfact bruce springsteen born run
9455,In end Mr robinson found,notic put seat soldier,girl last passeng got plane seat window kept last passeng
9456,what learn passag,robinson worri popul growth,robinson happi talk ethiopian girl robinson success expert popul studi robinson encourag femal educ
9457,who wrote grimm fairi tale,jacob william,some old peopl
9458,what may best titl text,too much game Is A pain In the neck,To play game well sit Up straight how To avoid the pain In the neck
9459,which follow best titl passag,the histori american diner,food cart earli diner american fast food restaur
9460,It conclud passag,base conclus accident evid,one take notic peopl merit order pattern world event
9461,the damag ozon layer caus,ozon destroy chemic,chemic refriger chemic air condition
9462,what passag mainli talk,dog help make read interest effect,dog loyal friend human dog good companion owner dog use peopl make experi
9463,what best titl passag,life like train ride,memori train ride A pleasant train tour
9464,talk father kathryn,greatli proud,prais wood art asham form wood art
9465,what know twin passag,those could draw better tend intellig,twin look similar draw better pictur they chosen take draw test research they test smart
9466,accord famili statement know,shirley black surviv husband charl black,shirley black ill bed long time black famili five gener die doctor nurs allow black home
9467,what text mainli,A kind girl care children hiv,A nonprofit organ provid servic kid abandon children infect hiv
9468,what subject discuss text,what ident stolen,what credit card stolen
9469,accord liz boss leav anoth job,let know want posit indirectli,ask manag give posit write let know want posit
9470,accord catherin uncertain,whether bodi shape decid food enjoy,mani bodi shape food prefer physiolog choic tast bud arrang tongu
9471,mr blair might support women,tri balanc work famili life,sacrific career look children devot time career
9472,what caus last rider stop help old man,kind sympathi,old man poor situat the old man warm comment
9473,some peopl keep healthi lifestyl die younger other,age rel faster biolog rate,biolog clock power enough higher actual age other
9474,which follow night feed tour januari wrong,visitor feed anim person,ticket non refund guid avail tour visitor ca n allow PM
9475,what medvedev first teacher said show,medvedev friendli,medvedev putin student medvedev chang medvedev putin invit home
9476,which follow sentenc not true,now million peopl celebr earth day,american celebr first earth day three Rs mean reduc reus recycl peopl celebr earth day help public clean
9477,what learn wentworth castl garden,It provid shortest visit time day,It offer great place play bowl It surround flower cherri tree
9478,which follow colour not use cell accord passag,red,yellow blue
9479,the purpos passag,persuad peopl choos home school,give inform differ school compar home school school suggest new method school educ
9480,We infer passag,graham help chang author attitud,author favorit sport climb hill author climb hill go work graham often climb hill exercis
9481,accord california studi low score group might,watch lot TV,comput bedroom
9482,We infer passag,mani peopl use internet purpos send receiv email,email applic internet want send receiv email log onto internet send email friend cowork ca n make commun stranger
9483,which follow best summar work woman so villag group children,she give children lot love kind,she live group children she cook meal children
9484,accord who offici know,simpl coal cook stove caus mani death,mani peopl refus use clean fuel technolog seven million peopl die indoor air pollut process coal danger peopl heath
9485,the woman father object romanc young man,american need support,could n speak danish
9486,what interview find,one race gender noth weight,hour sleep night enough children the child sleep healthier six grader need much sleep third grader
9487,what n line,use bad languag,treat everyon onlin stranger
9488,which follow statement correct accord passag,not recent mother understand put bottl lake,the man threw bottl lake without purpos the man n put bottl nearbi river strong current the man made bottl note let parent know OK
9489,which follow author suggest kid,snowbal fight,cross countri ski bird watch
9490,the exampl littl boy use show,peopl sometim wrong idea languag work,pig dirti word pig dirti word connect thing stand
9491,which sentenc right,inuit build snow hous winter,We skate summer there four season near polar region
9492,bay languag academi chines immers summer camp similar,provid field trip,intend kid year old
9493,what infer passag,govern take measur help peopl chang bad habit,all peopl well awar harm bad habit peopl age bad habit unit kingdom peopl adopt four healthi habit know good
9494,base passag research,calcul peopl life satisfact within five year,collect year nationwid data interview peopl year old divid data four age group
9495,what wrong boot john trimbald bought,the sole boot began fall apart,the color boot shade lot the boot n fit worker well the pattern boot n satisfi worker
9496,accord select follow true,non smoker suffer pollut air smoker,smoker suffer pollut air non smoker non smoker suffer much pollut air smoker non smoker n suffer much pollut air smoker
9497,which follow statement cat like anim describ passag not true,It catch anim forest,It come food night It live tree treetop
9498,henri embarrass,took hand complet stranger,heard hid wife scream street
9499,what impli state passag,If one get habit relax everi day overcom stress easili,the art relax greatli help peopl bear stress peopl primit day know certain way deal stress stress lead seriou health problem one expos long
9500,which follow statement true accord news,the famili n like link neighbor,the father respons boy the boy live rick jame lohstroh the boy brother sister
9501,accord passag might appropri tell joke busi social gather,best friend involv convers,joke well chosen
9502,what principl hospit employ worker,abil come first,easi job weak
9503,penguin,eat fish,live cold water
9504,which follow tell main idea passag,A new heat system,A new microwav oven
9505,accord passag scientist unhappi nobel,nobl quit possibl slow recogn achiev,usual nobel award work done previou year differ peopl often come similar idea similar time
9506,It prove,GM techniqu increas product crop,GM food harm peopl health GM food better natur produc food
9507,If ca n follow teacher class,ask class,ask class
9508,what writer purpos write passag,To help reader make better decis buy hous,To encourag reader build hous To explain hard decid hous buy To tell reader find great bargain buy hous
9509,which follow not effect ban cut forest,villag stop sell thing tourist,the baima peopl tens relationship reserv villag look mean make live the panda habitat often disturb villag
9510,what rich boy saw cri sadli way buy chocol,A littl girl,A littl boy
9511,the writer call wheelchair old man,old man surgeri weak,old man broken leg drop curb old man could spend whole night airport old man carri whole lot cloth
9512,some children angri parent passag,children limit parent,parent think eat much parent n like friend children made children n live parent
9513,By use water filter peopl,drink water without fear water n treat,pay money eventu drink bottl water know water compani honest check qualiti water
9514,whi clara give job free school,becaus offici n make princip,becaus want work patent offic
9515,which follow five countri launch man made satellit independ,the former union soviet socialist republ america franc japan china,the former union soviet socialist republ UK franc china japan the former union soviet socialist republ usa japan canada china america franc japan china australia
9516,onlin summer school suitabl,student poor read,n master good comput technolog student ca n finish homework
9517,what passag mainli,thing consid choos pen name,benefit use proper pen name how select pen name write differ genr
9518,from stori know,mr smith stop talk much night,mr smith ill Mr smith take pill Mr smithth n ill
9519,the thief tri get,neighbor doorbel,door bell
9520,barri took star everywher went,want care star,never seen duck like star set facebook page star need star drink
9521,which follow true accord passag,bahia bakari mother die accid,bahia bakari save lifebuoy bahia bakari father save daughter bahia bakari could swim well se escap
9522,which follow statement polar vortex not true,all place swept across becam extrem cold,It came around north pole area
9523,all follow way contribut busi except,dream live comfort life,decid chang present life get touch success peopl
9524,what would best titl passag,hold fast life purpos,live balanc life
9525,what passag mainli talk,laptop use westlak colleg virginia,laptop popular univers america more laptop use univers america peopl like use laptop everywher includ univers
9526,what text mainli,wizard rock,harri potter harri potter music joe paul band
9527,which would best titl passag,conflict father son,A talk father son
9528,which follow sentenc true accord passag,tar cigarett caus cancer,smoker continu smoke smoke interest In order look cool mani peopl enjoy smoke mani peopl western countri welcom cigarett tar
9529,the writer write passag,persuad peopl buy,give inform foulsham hous
9530,accord passag earworm,song keep go round mind,parasit clearli control
9531,what not infer text,name custom caus puzzl among asian countri,wive keep famili name japan differ countri differ name custom way the name custom korea differ japan
9532,whi grant name cancer michigan,becaus favorit team alway beat michigan,becaus michigan favorit team
9533,We infer passag,there quit quick book busi peopl,helen fri good write book quickli
9534,khurana also offer free food medicin children,necess school children,basic famili need includ model program
9535,who save girl life,her tear,the ant the ant friend
9536,alic munro would probabl inform win,the passag n clarifi,pick answer machin
9537,dure evolut human,gain skill also lost skill,lost percent dna share chimp need good memori surviv learn compet chimp
9538,the school ananda siksha niketan creat,babar ali,six colleg student woman bhabta villag
9539,It great piti,man n realiz import tree,man interest build empir man eager profit tree man n found lost tree
9540,We infer person donat ear,hi mother,hi father
9541,If georgia aquarium request allow,beluga kept aquarium U S,beluga world beluga kept aquarium beluga caught russian
9542,I n good time new school mean,I never fun new school,I good time new school
9543,whi rocket realli fire,To signal help,To warn ship
9544,now mani young peopl like eat western food,busi lunch slowli western food meet need,western food delici western food bad love western countri
9545,the report say indian forest long ago,danger anim kill,kill anim allow kill game anim forbidden
9546,what would best titl passag,eight habit keep flu away,the caus contract flu winter flu how cure flu
9547,what writer opinion,Do n save someon brain dead,An unconsci person clear condit An unconsci person know die when someon brain dead use machin keep breath
9548,when author drove work saw,A blind coupl walk driveway,driver drive car fast coupl fail cross road usual driver drove direct
9549,the passag mainli,lake effect snow form around great lake,influenc lake effect snow local peopl weight moistur atmospher phrase lake effect snow come new york
9550,what would best titl passag,nurs plan give job,nurs dislik job nurs low incom nurs pressur
9551,the chines girl smile american classroom,could n answer question,ask answer question
9552,whi author say earth day connect mother day,To show much mother care environ,becaus mother day fall shortli earth day becaus mother show friendli natur mother day
9553,mani children use comput,A B C,play game
9554,what special prefix st palacestateroom,they quit lot furnitur high qualiti,they use royal famili daili life they finest work art royal collect
9555,which best titl passag,fals report from differ new media,kristina We still pray and wait On A miracl bobbi kristina final day
9556,which follow true accord passag,the color robbi raincoat red,the raincoat stop rain robbi first watch mum robbi mum n wear raincoat rain
9557,your bodi one part your talent comedi quick wit thing make uniqu So tri let small imperfect take,they care much girl bodi imag,use opportun discov good just explor talent feel good n E they take hard work regular workout healthi diet n F the good news self imag bodi imag chang n G have posit bodi imag mean feel satisfi way look
9558,In text dieter mean,take weight reduc diet,healthi diet unhealthi diet
9559,what father school,It help father show love famili,It help father show love parent
9560,sit much danger,destroy balanc glucos fat bodi,increas glucos fat bodi make person unabl exercis enough day
9561,which follow best titl passag,cellphon ban drive,cellphon ban incar valuabl ban cellphon driver ban cellphon
9562,what made author begin doubt dentist,the dentist agre treat short notic,the dentist busi dentist the surround dentist offic the laugh assist dentist the dentist busi dentist the surround dentist offic the laugh assist dentist
9563,which follow not true accord passag,asian peopl tend save money,asian children depart diet tradit asian children eat big meal occas cultur contribut fat asian children
9564,the word swallow mean,take stomach throat,eat difficulti
9565,the doctor busi n good,old forget,alway readi help peopl peopl afraid wife good young doctor
9566,which club focus mainli basic knowledg languag,french languag lab beginn,english convers french convers advanc french convers advanc beginn
9567,which follow true accord passag,differ cell differ use bodi,each person make kg skin cell everi day the skin cell littl work bodi everi live thing earth made skin cell
9568,the monkey research train,exchang rock research,give away food research get reward partner
9569,It conclud passag,virtual realiti help promot understand among peopl,technolog help peopl realiz dream
9570,which follow true accord passag,all five zone function,the expo site cover area km n the expo site span side huangpu river there five function zone mark A B C D E
9571,whi easi find right gift mother day,becaus alway want get someth special,becaus mother n like gift
9572,the main idea passag could best state,clerc educ frenchman made differ american deaf educ,clerc intellig man thoma hopkin gallaudet grate clerc taught clerc would teach deaf america rather pari
9573,If want know histori zhejiang find,IN touch,around hangzhou citi express
9574,one passeng suggest write letter compani,thank conductor good servic,critic conductor rude behavior invit newspap report write conductor
9575,As indic passag figur conqueror gener soldier put highest pillar great citi world mainli,peopl respect much,peopl think fought brutal
9576,accord passag infer wo n disturb us,chang whose effect predict control,chang agreement one small chang meet daili life chang discuss consid thoroughli
9577,By say I far busi think give reev mean,busi time think give,busi begin think give never thought give walk far
9578,accord author predict know,the price chocol go way,chocol becom cheap sooner later the farmer produc cocoa dark chocol popular common one
9579,all follow true expect,coston tri sever time becam volunt firefight,coston want firefight kid firefight feel proud help peopl
9580,what inspir morioka open bookstor,hi work experi,A bookstor clerk
9581,accord passag follow not true,It difficult find job waitress engin,hawaii cost live higher mani place US most good hawaii countri
9582,accord passag follow would husband probabl like,repair fenc,ask wife work yard
9583,about distribut practic practic test true,small number expert know,psychologist studi whether effect
9584,which follow statement true accord passag,iditarod dog trip train chanc particip iditarod race,vicaar offer type trip central mongolia those fail care dog welcom vicaar panoram journey offer sled trip rather horseback trip
9585,We know text scientist time roman empir believ,saw eye,advanc theori time
9586,the passag mainli concern,solar power sensor provid traffic data,speedlnfo inc produc radar sensor problem tradit traffic report ever
9587,In eye erica avrami,ethic depend travel destin,ethic actual wonder idea travel advis travel far possibl travel leav much footprint possibl
9588,mani japanes student follow follow rule except,wear indoor shoe school,ca n leav home sunset
9589,what learn passag,tri healthi import tri thin,girl follow hairstylist advic chang hairstyl everi day girl wear high heel though might uncomfort have good hairstyl import wear fashion shoe
9590,In author opinion tourist enjoy huaple beach,forget daili routin,sit beach chair draw pictur sand
9591,what messi order complet soccer career,He must win world cup argentina,He must win tournament time
9592,whi peopl think badli writer new paper read,the writer n shown encourag attitud paper,the writer ask peopl tri make thing better the writer remind peopl thing go exactli plan the writer n think good idea accept thing go natur
